File_Name,Min_Value,Max_Value,Mean_Value
img_0_slice_70.npy,-1000,1528,-708.52680625
img_0_slice_71.npy,-1000,1553,-708.9918
img_0_slice_72.npy,-1000,1477,-709.0282125
img_0_slice_73.npy,-1000,1504,-709.1761625
img_0_slice_74.npy,-1000,1533,-709.54031875
img_0_slice_75.npy,-1000,1535,-709.78713125
img_0_slice_76.npy,-1000,1485,-709.87985
img_0_slice_77.npy,-1000,1468,-709.589875
img_0_slice_78.npy,-1000,1561,-709.53481875
img_0_slice_79.npy,-1000,1548,-709.40050625
img_0_slice_8.npy,-1000,1631,-639.32279375
img_0_slice_80.npy,-1000,1627,-709.3277
img_0_slice_81.npy,-1000,1585,-708.63211875
img_0_slice_82.npy,-1000,1578,-707.5252
img_0_slice_83.npy,-1000,1583,-707.14421875
img_0_slice_84.npy,-1000,1778,-706.47765
img_0_slice_85.npy,-1000,1738,-706.1313375
img_0_slice_86.npy,-1000,1932,-705.72906875
img_0_slice_87.npy,-1000,1799,-705.65214375
img_0_slice_88.npy,-1000,1706,-705.7694
img_0_slice_89.npy,-1000,1671,-705.16448125
img_0_slice_9.npy,-1000,1519,-641.0496875
img_0_slice_90.npy,-1000,1713,-704.32649375
img_0_slice_91.npy,-1000,1605,-703.00823125
img_0_slice_92.npy,-1000,1532,-702.52498125
img_0_slice_93.npy,-1000,1619,-702.23228125
img_0_slice_94.npy,-1000,2190,-702.640575
img_0_slice_95.npy,-1000,1847,-703.1570625
img_0_slice_96.npy,-1000,1615,-703.4743375
img_0_slice_97.npy,-1000,1468,-703.42575625
img_0_slice_98.npy,-1000,1567,-702.9995875
img_0_slice_99.npy,-1000,1518,-702.2545375
img_10_slice_0.npy,-1000,2250,-668.513625
img_10_slice_1.npy,-1000,2228,-662.3310625
img_10_slice_10.npy,-1000,2976,-608.690625
img_10_slice_100.npy,-1000,2170,-644.43845625
img_10_slice_101.npy,-1000,2140,-646.01163125
img_10_slice_102.npy,-1000,2110,-647.35115625
img_10_slice_103.npy,-1000,2080,-648.54473125
img_10_slice_104.npy,-1000,2080,-649.59784375
img_10_slice_105.npy,-1000,2114,-650.42836875
img_10_slice_106.npy,-1000,2039,-652.0131875
img_10_slice_107.npy,-1000,2057,-653.374975
img_10_slice_108.npy,-1000,2075,-654.58795625
img_10_slice_109.npy,-1000,2094,-655.64720625
img_10_slice_11.npy,-1000,2976,-607.34025625
img_10_slice_110.npy,-1000,2203,-656.46566875
img_10_slice_111.npy,-1000,2172,-657.8672
img_10_slice_112.npy,-1000,2140,-659.03175
img_10_slice_113.npy,-1000,2108,-660.0469625
img_10_slice_114.npy,-1000,2164,-660.9094875
img_10_slice_115.npy,-1000,2240,-661.53339375
img_10_slice_116.npy,-1000,2051,-662.2830375
img_10_slice_117.npy,-1000,2048,-662.7844
img_10_slice_118.npy,-1000,2090,-663.13111875
img_10_slice_119.npy,-1000,2133,-663.3289625
img_10_slice_12.npy,-1000,2976,-605.6815
img_10_slice_120.npy,-1000,2176,-663.3111875
img_10_slice_121.npy,-1000,2177,-663.4885125
img_10_slice_122.npy,-1000,2179,-663.43779375
img_10_slice_123.npy,-1000,2180,-663.24765
img_10_slice_124.npy,-1000,2182,-662.92129375
img_10_slice_125.npy,-1000,2184,-662.38759375
img_10_slice_126.npy,-1000,2040,-662.54445625
img_10_slice_127.npy,-1000,1961,-662.47784375
img_10_slice_128.npy,-1000,1898,-662.26510625
img_10_slice_129.npy,-1000,1917,-661.9072
img_10_slice_13.npy,-1000,2976,-603.8529875
img_10_slice_130.npy,-1000,2026,-661.319625
img_10_slice_131.npy,-1000,1947,-662.50424375
img_10_slice_132.npy,-1000,1904,-663.4623625
img_10_slice_133.npy,-1000,1861,-664.2731625
img_10_slice_134.npy,-1000,1819,-664.94246875
img_10_slice_135.npy,-1000,1886,-665.381575
img_10_slice_136.npy,-1000,1894,-666.47476875
img_10_slice_137.npy,-1000,1902,-667.3436
img_10_slice_138.npy,-1000,1911,-668.0660625
img_10_slice_139.npy,-1000,1919,-668.63828125
img_10_slice_14.npy,-1000,2976,-601.84358125
img_10_slice_140.npy,-1000,1927,-668.99429375
img_10_slice_141.npy,-1000,1681,-669.57284375
